VALUE	ABB	AVL
622404466	42	17
831264390	38	16
318452910	32	17
915989540	37	15
1388858585	39	16
2020444942	32	16
244200539	40	17
519066843	37	17
442974066	35	15
672928184	36	18
535547244	37	16
616896472	33	15
564991284	37	17
883533381	39	17
2124283013	39	16
1704982388	33	15
2011578443	35	17
326921158	32	16
1844447101	32	15
1651654098	25	16
658629397	37	18
1833426213	34	17
1133005333	44	18
619091123	34	16
1964237770	28	17
375304029	38	16
1895803290	34	16
400979291	38	16
1335787072	31	16
904038755	44	15
990578218	32	15
1958191538	29	17
1735303145	33	14
1309031128	32	16
726697430	37	18
976678083	40	16
1181992422	39	18
970897969	37	17
1495744926	39	17
1624966488	40	16
1643826153	41	16
2031292170	38	16
94379313	43	14
61333789	37	16
767341903	34	17
71178678	41	17
1766316178	38	15
631436699	29	17
398099836	38	16
1463279631	43	16
135607149	35	15
1056729233	41	18
1149222196	43	16
1268612482	34	15
1675820356	30	17
965976318	37	16
1643916512	39	16
1424139998	39	16
1366955609	31	15
832219936	33	18
180695105	40	16
210050179	43	14
642927826	37	17
1915998250	30	15
1519081307	39	17
1369625256	36	16
745192685	34	18
553590081	38	16
193039577	39	14
93453963	42	14
31072922	29	16
1836865730	34	15
2124746133	37	16
125452235	39	16
1898199519	36	16
744604389	33	17
196630913	43	16
1517032049	38	17
1376041088	36	15
594730749	31	17
832828032	38	16
1511648237	41	16
1651459982	29	16
1982050228	35	16
632777072	32	17
1179796690	41	19
800542899	35	18
129209936	45	17
456453040	36	16
20014860	35	15
961429872	37	15
637148145	32	17
230065040	40	15
1604357698	41	14
405662747	33	14
1749146347	31	16
826499306	33	16
1150855433	41	17
155252781	38	16
1019538883	39	18
1244309396	37	16
186325703	35	15
708920965	35	18
1221571882	45	16
311777938	31	16
459636836	40	17
1966176271	29	16
508408851	40	17
1976668886	34	14
1194733711	29	17
1103139600	36	16
662013270	37	16
558898300	36	16
607115934	35	15
496579851	34	17
1191675372	34	17
1786912624	37	17
1297122750	37	16
1320885308	37	16
95882016	41	15
1317137610	36	16
134831532	41	17
733030161	33	17
1547202650	35	16
1739189230	37	15
1138692908	38	18
1148865350	44	16
418204888	34	15
142064693	40	16
1304118131	34	15
1437743771	43	15
1386374090	38	14
1490443834	37	16
2146664736	28	16
460462324	36	16
1802221772	27	17
458817925	44	16
279154947	30	16
163146975	38	16
288003163	35	17
1473888658	41	16
1266286575	36	16
950016433	33	18
2032786958	36	16
1873402509	34	16
1446596284	44	17
1076978683	40	19
1512831485	50	18
596235386	30	16
250380343	40	16
1608713501	39	15
1913372997	28	16
385211876	39	16
194260014	41	15
1313091999	33	17
2124401106	36	15
1332952922	34	17
314473701	33	17
395122347	37	14
1475017616	36	17
1618591832	43	16
1832866118	36	17
713908058	36	16
961552018	38	17
1832047207	37	16
1174370382	41	19
616290142	43	16
143381484	43	16
1453525329	44	18
779437117	41	17
431384647	35	16
779930339	39	16
2045723692	30	16
1381401080	44	16
665233649	34	15
1771642553	41	15
680513717	35	15
1742212332	37	15
1136990390	38	18
1276749103	36	16
1992592676	34	16
598220243	34	16
1042638452	37	17
230320904	39	14
792480257	34	18
208246804	46	16
207238362	40	16
2125433180	33	17
522720505	34	17
602360709	34	16
1452967148	39	16
2141312338	32	16
287743180	34	16
19391558	34	16
955380708	43	17
2119790387	41	16
1193761940	37	18
1571670851	37	16
115688223	40	16
499803621	39	16
203624320	41	15
547072870	40	17
1279733960	36	15
101864365	41	17
1928473950	31	17
1944967609	36	18
1873506918	36	16
461504019	36	17
1539696294	42	17
863013661	40	18
1738253123	35	15
1384805322	41	16
1461233904	43	15
633407927	29	16
1615126226	41	16
106230514	38	16
841654731	36	16
1822364588	32	17
84180046	36	15
1364375237	33	17
277241650	38	16
1537147194	46	15
1358203927	36	14
564984830	36	17
1556538752	41	17
166100987	39	15
537291569	33	14
602817044	33	16
1737771838	35	16
652979792	34	16
1102620665	34	17
1941396159	32	15
1200052662	40	17
234870977	39	16
2043260524	32	17
981042964	40	18
32354938	35	16
1769283794	41	15
1442546984	43	17
1572051232	37	16
484813807	32	16
1033316459	39	18
809372906	34	17
1946047712	33	17
1666724386	35	16
277015484	40	15
2052278226	37	16
360895470	36	14
2099380073	37	15
2136458272	33	17
1725270707	30	15
229138075	37	16
1526121818	44	17
935990986	38	17
794122905	35	17
935176922	41	17
1102091973	31	16
1331414474	32	16
1537993966	37	17
692380164	39	16
1984394266	33	16
493130983	38	15
486292675	32	15
1036963280	32	18
728001960	39	18
382069551	37	15
2018006244	36	16
760356898	31	16
3869697	36	15
1313069580	33	17
184924483	38	14
488683505	27	14
198902391	33	15
994297389	36	16
287247569	38	15
1865626778	39	15
1271312874	34	16
192042147	40	15
79038600	39	17
1223209299	48	17
181016771	38	16
1804309307	28	15
1452347374	45	16
1707138589	32	17
592816645	36	16
98986631	47	15
494831863	37	16
1694908618	31	17
1430401105	40	15
2032825829	33	16
239805134	38	15
1267311723	36	14
378473164	33	14
726097809	31	18
156791355	43	16
1106475124	36	18
1108167360	39	18
27313951	40	17
1866832022	36	16
1112037058	34	17
1340383532	40	16
2051756505	38	16
1600720563	41	15
1539285923	42	17
898570247	40	16
1887968132	36	16
1257429053	38	16
22399473	37	16
2080010279	36	15
1336467653	36	17
1245608772	38	16
113543402	41	17
993293312	38	15
550472498	33	17
1820681991	32	17
1586109957	39	16
649459129	35	16
168030206	31	16
1133534928	41	18
2079860234	37	15
53372387	42	15
1373340062	34	15
1199688309	34	16
431845551	39	15
2099437872	38	15
1356479664	39	16
1538320675	39	17
1060121584	37	17
1383793615	49	16
